code_type,code,consumer_description
CPT,0112A,Moderna pediatric COVID-19 vaccine second dose
CPT,0113A,Moderna pediatric COVID-19 vaccine third dose
CPT,0124A,Pfizer bivalent COVID-19 vaccine booster
CPT,0134A,Moderna COVID-19 vaccine booster dose
CPT,0144A,Pfizer bivalent COVID-19 booster (pediatric)
CPT,0152U,Infection identification through genetic sequencing
CPT,0154A,Pfizer bivalent COVID-19 booster for young children
CPT,0164A,COVID-19 bivalent vaccine booster ages 6 months to 5 years
CPT,0173A,COVID-19 bivalent vaccine dose ages 6 months to 4 years
CPT,0179U,Lung cancer genetic analysis test
CPT,0184T,Rectal tumor removal through the anus
CPT,0188T,Critical care provided by video call
CPT,0191T,Eye drainage device insertion for pressure
CPT,0200T,Injection to strengthen weakened spine bones
CPT,0201T,Injection to strengthen both sides of spine
CPT,0202T,Artificial joint replacement for spine
CPT,0202U,Respiratory infection panel for 22 pathogens including COVID
CPT,0207T,Eyelid gland treatment for dry eyes
CPT,0213T,Ultrasound-guided neck or upper back joint injection
CPT,0214T,Ultrasound-guided neck or back injection second level
CPT,0215T,Ultrasound-guided neck or back injection third and additional levels
CPT,0216T,Ultrasound-guided lower back joint injection first level
CPT,0217T,Ultrasound-guided lower back joint injection second level
CPT,0218T,Ultrasound-guided lower back injection additional level
CPT,0219T,Spinal implant placement in neck
CPT,0221T,Spinal implant placement in lower back
CPT,0221U,Blood type genetic testing
CPT,0223U,COVID-19 and respiratory infection test
CPT,0224U,COVID-19 antibody level test
CPT,0225U,Respiratory infection panel including COVID-19
CPT,0226T,High-resolution examination of the anus with sample
CPT,0226U,COVID-19 antibody neutralization test
CPT,0227T,High-resolution examination of the anus with biopsy
CPT,0228T,Ultrasound-guided spine injection for pain
CPT,0229T,Spine injection with ultrasound additional level
CPT,0230T,Lower back epidural injection with ultrasound
CPT,0231T,Lower back epidural injection additional level
CPT,0232T,Platelet-rich plasma injection with imaging
CPT,0234T,Artery clearing procedure in kidney
CPT,0235T,Artery clearing procedure in abdominal organs
CPT,0236T,Artery clearing procedure in main abdominal artery
CPT,0237T,Artery clearing procedure in arm
CPT,0238T,Artery clearing procedure in hip area
CPT,0239U,Comprehensive cancer genetic panel test (311 or more genes)
CPT,0241U,Respiratory test for COVID flu and RSV
CPT,0245U,Thyroid genetic mutation analysis
CPT,0249T,Ultrasound-guided hemorrhoid treatment
CPT,0254T,Minimally invasive hip artery repair
CPT,0255T,Minimally invasive hip artery repair with imaging
CPT,0264T,Bone marrow stem cell therapy
CPT,0269T,Extended heart rhythm monitoring up to 21 days
CPT,0275T,Minimally invasive spine decompression procedure
CPT,0276U,Blood platelet disorder genetic test
CPT,0279U,Von Willebrand disease blood clotting test
CPT,0280U,Von Willebrand disease collagen binding test
CPT,0284U,Von Willebrand disease type 2N evaluation
CPT,0295T,Extended heart monitor 48 hours to 21 days complete service
CPT,0296T,Extended heart monitor recording with connection setup
CPT,0297T,Extended heart monitor analysis and report
CPT,0298T,Extended heart monitor review and interpretation
CPT,0313U,Pancreatic cancer genetic analysis test
CPT,0316T,Replacement of vagus nerve stimulator battery
CPT,0331T,Heart nerve imaging scan planar view
CPT,0332T,Heart nerve imaging scan with 3D imaging
CPT,0335T,Foot joint stabilization implant insertion
CPT,0338T,Kidney nerve treatment to lower blood pressure one side
CPT,0339T,Kidney nerve treatment to lower blood pressure both sides
CPT,0345T,Heart valve repair through blood vessel
CPT,0346T,Ultrasound tissue stiffness measurement
CPT,0347T,Placement of bone tracking device for X-ray analysis
CPT,0351U,Infection test measuring immune response
CPT,0361U,Nerve damage blood test
CPT,0368T,Behavior therapy for autism or developmental disorders first 30 minutes
CPT,0369T,Behavior therapy for autism or developmental disorders each additional 30 minutes
CPT,0373T,Adaptive behavior treatment each 15 minutes
CPT,0376T,Additional eye drainage device insertion
CPT,0377T,Anal injection treatment for bowel control
CPT,0387T,Leadless pacemaker insertion or replacement
CPT,0389T,Leadless pacemaker programming evaluation
CPT,0391T,Leadless pacemaker check-up evaluation
CPT,0394T,High-dose radiation skin surface treatment
CPT,0395T,High-dose internal radiation treatment
CPT,0397T,Bile duct exam with microscopic imaging
CPT,0398T,MRI-guided ultrasound brain treatment
CPT,0403T,Diabetes prevention program session
CPT,0404T,Uterine fibroid removal with ultrasound and heat
CPT,0408T,Heart rhythm device system implant or replacement
CPT,0409T,Heart rhythm device battery implant or replacement
CPT,0410T,Heart rhythm device upper chamber electrode placement
CPT,0411T,Heart rhythm device lower chamber electrode placement
CPT,0412T,Heart rhythm device battery removal
CPT,0413T,Heart rhythm device electrode removal
CPT,0414T,Repeat laser treatment for eye pressure
CPT,0415T,Heart rhythm device electrode repositioning
CPT,0416T,Heart rhythm device pocket relocation
CPT,0417T,Heart rhythm device programming evaluation
CPT,0418T,Heart rhythm device check-up evaluation
CPT,0421T,Water jet prostate treatment for enlarged prostate
CPT,0431U,Autoimmune nervous system antibody test
CPT,0432U,Autoimmune brain antibody test
CPT,0437T,Synthetic mesh implant for hernia or tissue support
CPT,0439T,Heart muscle imaging with contrast dye
CPT,0440T,Nerve freezing treatment for pain upper body
CPT,0441T,Nerve freezing treatment for pain lower body
CPT,0442T,Nerve cluster freezing treatment for pain
CPT,0449T,Eye fluid drainage device insertion for glaucoma
CPT,0464T,Visual test for glaucoma detection
CPT,0474T,Eye drainage device with reservoir insertion
CPT,0479T,Fractional laser skin treatment first area
CPT,0480U,Spinal fluid infection genetic sequencing test
CPT,0482T,Heart blood flow measurement with PET scan
CPT,0483T,Heart valve replacement through blood vessel
CPT,0484T,Heart valve replacement through chest incision
CPT,0500F,First prenatal care visit
CPT,0501F,First prenatal care visit with documentation
CPT,0502F,Follow-up prenatal care visit
CPT,0502T,Heart blood flow data preparation
CPT,0503F,Postpartum care visit after delivery
CPT,0503T,Heart blood flow data analysis
CPT,0505T,Leg artery treatment with stent graft
CPT,0506T,Eye pigment density measurement for vision health
CPT,0507F,Kidney dialysis care plan documentation
CPT,0507T,Eyelid gland imaging for dry eye diagnosis
CPT,0508T,Bone density ultrasound measurement
CPT,0509F,Urinary incontinence care plan documentation
CPT,0509T,Eye electrical response test for vision
CPT,0510T,Foot joint implant removal
CPT,0511T,Foot joint implant removal and replacement
CPT,0512T,Shock wave wound healing treatment first wound
CPT,0513F,High blood pressure care plan documentation
CPT,0513T,Shock wave wound healing treatment additional wound
CPT,0514T,Eye alignment check during surgery
CPT,0515T,Wireless heart pacing device complete system
CPT,0516F,Anemia care plan documentation
CPT,0516T,Wireless heart pacing electrode only
CPT,0517T,Wireless heart pacing battery component
CPT,0518F,Fall prevention care plan documentation
CPT,0518T,Wireless heart pacing battery removal
CPT,0519T,Wireless heart pacing battery replacement
CPT,0520T,Wireless heart pacing complete replacement
CPT,0521T,Wireless heart pacing device check-up
CPT,0522T,Wireless heart pacing device programming
CPT,0523T,Heart blood flow mapping during procedure
CPT,0524T,Vein treatment with chemical injection
CPT,0525F,First visit for back pain evaluation
CPT,0525T,Internal monitoring system complete implant
CPT,0526T,Internal monitoring electrode implant only
CPT,0527T,Internal monitoring device implant only
CPT,0528F,Colonoscopy follow-up recommendation in report
CPT,0528T,Internal monitoring device programming
CPT,0529F,Documentation of time since last colonoscopy
CPT,0529T,Internal monitoring device check-up evaluation
CPT,0530T,Complete internal monitoring system removal
CPT,0531T,Internal monitoring electrode removal
CPT,0532T,Internal monitoring device removal
CPT,0533T,Movement disorder monitoring 6 to 10 days
CPT,0534T,Movement disorder monitoring setup and training
CPT,0535T,Movement disorder monitoring initial report
CPT,0536T,Movement disorder monitoring review and interpretation
CPT,0537T,CAR-T cell therapy blood collection per day
CPT,0540T,CAR-T cell cancer treatment administration
CPT,0542T,Heart imaging to detect blood flow problems
CPT,0543T,Heart valve repair with artificial cord placement
CPT,0544T,Heart valve reconstruction with adjustable device
CPT,0545T,Tricuspid heart valve reconstruction with device
CPT,0546T,Breast tissue margin check during surgery
CPT,0547T,Bone quality testing at the shin
CPT,0548T,Bladder control balloon device both sides
CPT,0549T,Bladder control balloon device one side
CPT,0550T,Bladder control balloon device removal
CPT,0551T,Bladder control balloon device adjustment
CPT,0552T,Low-level laser therapy for healing
CPT,0553T,Hip artery connection implant placement
CPT,0554T,Bone strength and fracture risk CT analysis data retrieval
CPT,0555T,Bone strength and fracture risk CT analysis transmission
CPT,0556T,Bone strength assessment from CT scan
CPT,0557F,Chest pain management plan documentation
CPT,0557T,Bone strength analysis interpretation and report
CPT,0558T,CT scan for bone strength analysis
CPT,0559T,3D printed anatomical model first component
CPT,0560T,3D printed anatomical model additional component
CPT,0561T,3D printed surgical guide first guide
CPT,0562T,3D printed surgical guide additional guide
CPT,0563T,Eyelid gland heat treatment both eyes
CPT,0565T,Fat tissue cell implant harvest and creation
CPT,0566T,Fat tissue cell injection into knee
CPT,0567T,Permanent fallopian tube blockage with implant
CPT,0568T,Fallopian tube blockage confirmation test
CPT,0569T,Tricuspid heart valve replacement first device
CPT,0570T,Tricuspid heart valve replacement additional device
CPT,0571T,Implantable defibrillator with chest electrode
CPT,0572T,Chest electrode insertion for defibrillator
CPT,0573T,Chest electrode removal from defibrillator
CPT,0574T,Chest defibrillator electrode repositioning
CPT,0575T,Chest electrode defibrillator programming
CPT,0576T,Chest electrode defibrillator check-up
CPT,0577T,Chest electrode defibrillator testing
CPT,0578T,Remote defibrillator monitoring by physician
CPT,0579T,Remote defibrillator monitoring by technician
CPT,0580T,Chest defibrillator battery removal
CPT,0581T,Breast tumor freezing treatment
CPT,0582T,Prostate treatment with heated water vapor
CPT,0583T,Automated ear tube insertion
CPT,0587T,Nerve stimulator implant for bladder control
CPT,0588T,Bladder nerve stimulator removal or revision
CPT,0589T,Bladder nerve stimulator basic programming
CPT,0590T,Bladder nerve stimulator complex programming
CPT,0591T,Health coaching initial assessment session
CPT,0592T,Health coaching follow-up session
CPT,0593T,Health coaching group session
CPT,0600T,Tumor destruction with electric pulses with imaging
CPT,0601T,Tumor destruction with electric pulses open surgery
CPT,0609T,Spine pain MRI data collection
CPT,0610T,Spine pain MRI data transmission
CPT,0611T,Spine pain MRI analysis
CPT,0614T,Chest defibrillator battery replacement
CPT,0620T,Vein to artery connection in leg
CPT,0621T,Laser glaucoma drainage surgery
CPT,0622T,Laser glaucoma drainage surgery with scope
CPT,0627T,Spinal gel injection with X-ray first level
CPT,0628T,Spinal gel injection with X-ray additional level
CPT,0629T,Spinal gel injection with CT first level
CPT,0630T,Spinal gel injection with CT additional level
CPT,0632T,Kidney artery nerve treatment with ultrasound
CPT,0633T,3D breast CT scan without contrast one side
CPT,0634T,3D breast CT scan with contrast one side
CPT,0635T,3D breast CT scan with and without contrast one side
CPT,0636T,3D breast CT scan without contrast both sides
CPT,0637T,3D breast CT scan with contrast both sides
CPT,0638T,3D breast CT scan with and without contrast both sides
CPT,0643T,Heart chamber restoration device implant
CPT,0644T,Heart mass removal with suction device
CPT,0646T,Tricuspid valve replacement with heart catheterization
CPT,0651T,Capsule camera exam of esophagus and stomach
CPT,0652T,Flexible nasal scope stomach exam with wash
CPT,0653T,Flexible nasal scope stomach exam with biopsy
CPT,0654T,Flexible nasal scope with tube placement
CPT,0660T,Eye implant drug delivery system insertion
CPT,0662T,Scalp cooling first measurement and calibration
CPT,0663T,Scalp cooling cap placement and monitoring
CPT,0671T,Eye drainage implant with tissue removal
CPT,0673T,Thyroid nodule laser treatment through skin
CPT,0686T,Liver tumor destruction with focused sound waves
CPT,0689T,Ultrasound tissue analysis without exam
CPT,0690T,Ultrasound tissue analysis with diagnostic exam
CPT,0692T,Blood filtering treatment only
CPT,0693T,Full body 3D motion analysis
CPT,0695T,Body surface mapping pacemaker or defibrillator implant
CPT,0696T,Body surface mapping pacemaker or defibrillator follow-up
CPT,0697T,Quantitative MRI tissue analysis multiple organs
CPT,0698T,Quantitative MRI tissue analysis with diagnostic MRI
CPT,0707T,Bone substitute injection for cartilage defect
CPT,0711T,Non-invasive artery plaque analysis data preparation
CPT,0712T,Non-invasive artery plaque analysis measurement
CPT,0715T,Coronary artery shock wave treatment to break up blockage
CPT,0720T,Nerve stimulation without permanent implant
CPT,0737T,Artificial joint cartilage implant
CPT,0738T,Prostate cancer treatment planning with magnetic field
CPT,0739T,Prostate cancer treatment with magnetic field heating
CPT,0740T,Automated insulin dosing system setup and education
CPT,0742T,Heart blood flow SPECT scan with exercise or medication stress
CPT,0743T,Bone strength and fracture risk with vertebral assessment
CPT,0744T,Leg vein valve implant through open surgery
CPT,0745T,Heart rhythm treatment with radiation non-invasive mapping
CPT,0746T,Heart rhythm treatment with radiation conventional mapping
CPT,0748T,Stem cell injection for anal fistula treatment
CPT,0749T,Bone strength assessment from X-ray analysis
CPT,0750T,Bone strength assessment with hand X-ray
CPT,0751T,Digital slide scanning for surgical pathology level 2
CPT,0752T,Digital slide scanning for surgical pathology level 3
CPT,0753T,Digital slide scanning for fine needle aspiration
CPT,0754T,Digital slide scanning for surgical pathology level 5
CPT,0755T,Digital slide scanning for surgical pathology level 6
CPT,0756T,Digital slide scanning for microorganism staining
CPT,0757T,Digital slide scanning for other special staining
CPT,0758T,Digital slide scanning for frozen tissue special stain
CPT,0759T,Digital slide scanning for enzyme staining
CPT,0760T,Digital slide scanning for immune staining first stain
CPT,0761T,Digital slide scanning for immune staining additional stain
CPT,0762T,Digital slide scanning for multiple antibody staining
CPT,0763T,Digital slide scanning for tumor immune analysis
CPT,0766T,Magnetic nerve pain treatment first session one nerve
CPT,0767T,Magnetic nerve pain treatment first session each additional nerve
CPT,0768T,Magnetic nerve pain treatment follow-up one nerve
CPT,0769T,Magnetic nerve pain treatment follow-up each additional nerve
CPT,0771T,Virtual reality pain therapy same provider first 15 minutes
CPT,0772T,Virtual reality pain therapy same provider additional 15 minutes
CPT,0773T,Virtual reality pain therapy other provider first 15 minutes
CPT,0774T,Virtual reality pain therapy other provider additional 15 minutes
CPT,0775T,Sacroiliac joint fusion with imaging and implant
CPT,0776T,Brain cooling therapy for injury treatment
CPT,0777T,Real-time spinal pressure sensing during epidural
CPT,0778T,Muscle activity and motion measurement with sensors
CPT,0779T,Digestive tract muscle activity study
CPT,0780T,Fecal transplant into lower intestines
CPT,0781T,Lung nerve treatment with radiofrequency both sides
CPT,0782T,Lung nerve treatment with radiofrequency one side
CPT,0783T,Ear nerve stimulator setup and patient training
CPT,0795T,Dual chamber leadless pacemaker complete system
CPT,0796T,Dual chamber leadless pacemaker upper chamber component
CPT,0797T,Dual chamber leadless pacemaker lower chamber component
CPT,0798T,Dual chamber leadless pacemaker complete removal
CPT,0799T,Dual chamber leadless pacemaker upper chamber removal
CPT,0800T,Dual chamber leadless pacemaker lower chamber removal
CPT,0801T,Dual chamber leadless pacemaker removal and replacement
CPT,0802T,Dual chamber leadless pacemaker upper chamber replacement
CPT,0803T,Dual chamber leadless pacemaker lower chamber replacement
CPT,0823T,Single chamber leadless pacemaker upper chamber
CPT,0824T,Single chamber leadless pacemaker removal
CPT,0825T,Single chamber leadless pacemaker removal and replacement
CPT,0826T,Single chamber leadless pacemaker programming
CPT,0827T,Digital slide scanning for cell smear with interpretation
CPT,0828T,Digital slide scanning for simple filter cell analysis
CPT,0829T,Digital slide scanning for concentrated cell analysis
CPT,0830T,Digital slide scanning for selective cell enhancement
CPT,0831T,Digital slide scanning for cervical or vaginal cells
CPT,0832T,Digital slide scanning for other cell source screening
CPT,0833T,Digital slide scanning for other cell source preparation and screening
CPT,0834T,Digital slide scanning for extended cell study
CPT,0835T,Digital slide scanning for fine needle aspiration first episode
CPT,0836T,Digital slide scanning for fine needle aspiration additional
CPT,0837T,Digital slide scanning for fine needle aspiration interpretation
CPT,0838T,Digital slide scanning consultation on referred slides
CPT,0839T,Digital slide scanning consultation on referred material
CPT,0840T,Digital slide scanning comprehensive consultation
CPT,0841T,Digital slide scanning pathology consultation first tissue
CPT,0842T,Digital slide scanning pathology consultation additional tissue
CPT,0843T,Digital slide scanning surgical cytology first exam
CPT,0844T,Digital slide scanning surgical cytology additional exam
CPT,0845T,Digital slide scanning immune fluorescence first stain
CPT,0846T,Digital slide scanning immune fluorescence additional stain
CPT,0847T,Digital slide scanning tissue selection for molecular analysis
CPT,0848T,Digital slide scanning genetic probe first stain
CPT,0849T,Digital slide scanning genetic probe additional stain
CPT,0850T,Digital slide scanning multiple genetic probes
CPT,0851T,Digital slide scanning morphometric genetic probe first
CPT,0852T,Digital slide scanning morphometric genetic probe additional
CPT,0853T,Digital slide scanning morphometric multiple genetic probes
CPT,0854T,Digital slide scanning blood smear interpretation
CPT,0855T,Digital slide scanning bone marrow smear interpretation
CPT,0856T,Digital slide scanning electron microscopy diagnosis
CPT,0865T,Quantitative MRI brain analysis without diagnostic scan
CPT,0866T,Quantitative MRI brain analysis with diagnostic scan
CPT,0869T,Bone substitute injection with hardware stabilization
CPT,0882T,Nerve stimulation for arm pain during surgery first treatment
CPT,0888T,Kidney tumor destruction with focused sound waves
CPT,0890T,MRI-guided brain stimulation first treatment day
CPT,0891T,MRI-guided brain stimulation treatment day
CPT,0892T,MRI-guided brain stimulation per treatment day
CPT,0913T,Therapeutic balloon treatment in brain artery first
CPT,0914T,Therapeutic balloon treatment in brain artery each additional
CPT,10004,Fine needle tissue sample without imaging additional lesion
CPT,10005,Fine needle tissue sample with ultrasound first lesion
CPT,10006,Fine needle tissue sample with ultrasound additional lesion
CPT,10007,Fine needle tissue sample with X-ray guidance first lesion
CPT,10008,Fine needle tissue sample with X-ray guidance additional lesion
CPT,10009,Fine needle tissue sample with CT guidance first lesion
CPT,1000F,Tobacco use assessment
CPT,10010,Fine needle tissue sample with CT guidance additional lesion
CPT,10011,Fine needle tissue sample with MRI guidance first lesion
CPT,10012,Fine needle tissue sample with MRI guidance additional lesion
CPT,10021,Fine needle tissue sample without imaging first lesion
CPT,10022,Fine needle tissue sample with imaging guidance
CPT,10030,Image-guided fluid drainage by catheter through skin
CPT,10035,Locating device placement for soft tissue using X-ray first growth
CPT,10036,Locating device placement for soft tissue additional lesion
CPT,10040,Acne surgery including removal of cysts or milia
CPT,1005F,Asthma symptoms evaluation
CPT,10060,Drainage of abscess or cyst simple or single
CPT,10061,Drainage of abscess or cyst complicated or multiple
CPT,10080,Drainage of pilonidal cyst simple
CPT,10081,Drainage of pilonidal cyst complicated
CPT,10120,Foreign body removal from under the skin simple
CPT,10121,Foreign body removal from under the skin complex
CPT,10140,Drainage of blood collection or fluid
CPT,1015F,COPD symptoms assessment
CPT,10160,Puncture drainage of abscess cyst or blood collection
CPT,10180,Drainage of complex post-surgical wound infection
CPT,1026F,Related health condition assessment
CPT,1030F,Flu vaccination status assessment
CPT,1031F,Smoking and secondhand smoke exposure assessment
CPT,1032F,Current smoker or secondhand smoke exposure documented
CPT,1033F,Non-smoker with no secondhand smoke exposure documented
CPT,1034F,Current tobacco smoker documented
CPT,1035F,Current smokeless tobacco user documented
CPT,1036F,Tobacco non-user documented
CPT,1038F,Persistent asthma assessment
CPT,1066F,Stroke symptoms onset more than 3 hours before arrival
CPT,1072899ORP,Bone marrow concentrate injection without centrifuge
CPT,1072900ORP,Bone marrow concentrate injection with guidance
CPT,1072901ORP,Bone marrow concentrate with platelet-rich plasma injection
CPT,1072902ORP,Bone marrow concentrate with PRP and guidance
CPT,1072903ORP,Bone marrow concentrate with PRP guidance and bone substitute
CPT,1072904ORP,Bone substitute injection with guidance
CPT,1090F,Urinary incontinence assessment
CPT,1091F,Urinary incontinence type documented
CPT,11000,Cleaning of infected or eczema skin up to 10 percent of body
CPT,11001,Cleaning of infected skin each additional 10 percent body surface
CPT,11004,Cleaning of dead tissue genital and perineal area
CPT,11005,Cleaning of dead skin and tissue
CPT,11006,Cleaning of dead tissue genital perineal and abdominal wall
CPT,11008,Removal of prosthetic mesh from abdominal wall
CPT,1100F,Patient falls assessment with 2 or more falls documented
CPT,11010,Wound cleaning with foreign body removal skin and tissue
CPT,11011,Wound cleaning with foreign body removal including muscle
CPT,11012,Wound cleaning with foreign body removal including bone
CPT,1101F,Patient falls assessment with 0 to 1 falls without injury
CPT,11040,Cleaning of scrapes and abrasions
CPT,11042,Tissue cleaning first 20 square centimeters or less
CPT,11043,Muscle tissue cleaning first 20 square centimeters or less
CPT,11044,Bone tissue cleaning first 20 square centimeters or less
CPT,11045,Tissue cleaning each additional 20 square centimeters
CPT,11046,Muscle tissue cleaning each additional 20 square centimeters
CPT,11047,Bone tissue cleaning each additional 20 square centimeters
CPT,11055,Corn or callus removal single lesion
CPT,11056,Corn or callus removal 2 to 4 lesions
CPT,11057,Corn or callus removal more than 4 lesions
CPT,11100,Skin punch biopsy single lesion
CPT,11101,Skin biopsy each additional lesion
CPT,11102,Tangential skin biopsy single lesion
CPT,11103,Tangential skin biopsy each additional lesion
CPT,11104,Punch biopsy of skin single lesion
CPT,11105,Punch biopsy of skin each additional lesion
CPT,11106,Incisional skin biopsy single lesion
CPT,11107,Incisional skin biopsy each additional lesion
CPT,1111F,Discharge medications reconciled with current medication list
CPT,11200,Skin tag removal up to 15 lesions
CPT,11201,Skin tag removal each additional 10 lesions
CPT,1123F,Advance care planning discussed with documentation
CPT,1124F,Advance care planning discussed but unable to document
CPT,1125F,Pain severity measured with pain present
CPT,1126F,Pain severity measured with no pain present
CPT,11300,Skin lesion shaving trunk arm or leg 0.5 cm or less
CPT,11301,Skin lesion shaving trunk arm or leg 0.6 to 1.0 cm
CPT,11302,Skin lesion shaving trunk arm or leg 1.1 to 2.0 cm
CPT,11303,Skin lesion shaving trunk arm or leg over 2.0 cm
CPT,11305,Skin lesion shaving scalp neck hand foot genitals 0.5 cm or less
CPT,11306,Skin lesion shaving scalp neck hand foot genitals 0.6 to 1.0 cm
CPT,11307,Skin lesion shaving scalp neck hand foot genitals 1.1 to 2.0 cm
CPT,11308,Skin lesion shaving scalp neck hand foot genitals over 2.0 cm
CPT,1130F,Back pain and function assessment
CPT,11310,Skin lesion shaving face ear eyelid nose lip 0.5 cm or less
CPT,11311,Skin lesion shaving face ear eyelid nose lip 0.6 to 1.0 cm
CPT,11312,Skin lesion shaving face ear eyelid nose lip 1.1 to 2.0 cm
CPT,11313,Skin lesion shaving face ear eyelid nose lip over 2.0 cm
CPT,11400,Benign skin growth removal trunk arms or legs 0.5 cm or less
CPT,11401,Benign skin growth removal trunk arms or legs 0.6 to 1.0 cm
CPT,11402,Benign skin growth removal trunk arms or legs 1.1 to 2.0 cm
CPT,11403,Benign skin growth removal trunk arms or legs 2.1 to 3.0 cm
CPT,11404,Benign skin growth removal trunk arms or legs 3.1 to 4.0 cm
CPT,11406,Benign skin growth removal trunk arms or legs over 4.0 cm
CPT,11420,Benign skin growth removal scalp neck hands feet or genitals 0.5 cm or less
CPT,11421,Benign skin growth removal scalp neck hands feet or genitals 0.6 to 1.0 cm
CPT,11422,Benign skin growth removal scalp neck hands feet or genitals 1.1 to 2.0 cm
CPT,11423,Benign skin growth removal scalp neck hands feet or genitals 2.1 to 3.0 cm
CPT,11424,Benign skin growth removal scalp neck hands feet or genitals 3.1 to 4.0 cm
CPT,11426,Benign skin growth removal scalp neck hands feet or genitals over 4.0 cm
CPT,11440,Benign skin growth removal face ears eyelids nose lips or mouth 0.5 cm or less
CPT,11441,Benign skin growth removal face ears eyelids nose lips or mouth 0.6 to 1.0 cm
CPT,11442,Benign skin growth removal face ears eyelids nose lips or mouth 1.1 to 2.0 cm
CPT,11443,Benign skin growth removal face ears eyelids nose lips or mouth 2.1 to 3.0 cm
CPT,11444,Benign skin growth removal face ears eyelids nose lips or mouth 3.1 to 4.0 cm
CPT,11446,Benign skin growth removal face ears eyelids nose lips or mouth over 4.0 cm
CPT,11450,Removal of skin for inflamed underarm sweat glands simple repair
CPT,11451,Removal of skin for inflamed underarm sweat glands complex repair
CPT,11462,Removal of skin for inflamed groin sweat glands simple repair
CPT,11463,Removal of skin for inflamed groin sweat glands complex repair
CPT,11470,Removal of skin for inflamed sweat glands simple repair other area
CPT,11471,Removal of skin for inflamed sweat glands complex repair other area
CPT,1152F,Advanced disease diagnosis care goal documented prioritizing comfort
CPT,1153F,Advanced disease diagnosis care goal documented not prioritizing comfort
CPT,1157F,Advance care plan documented in medical record
CPT,1158F,Advance care planning discussion documented in medical record
CPT,1159F,Medication list documented in medical record
CPT,11600,Skin cancer removal trunk arms or legs 0.5 cm or less
CPT,11601,Skin cancer removal trunk arms or legs 0.6 to 1.0 cm
CPT,11602,Skin cancer removal trunk arms or legs 1.1 to 2.0 cm
CPT,11603,Skin cancer removal trunk arms or legs 2.1 to 3.0 cm
CPT,11604,Skin cancer removal trunk arms or legs 3.1 to 4.0 cm
CPT,11606,Skin cancer removal trunk arms or legs over 4.0 cm
CPT,1160F,All medications reviewed by prescriber or pharmacist documented
CPT,11620,Skin cancer removal scalp neck hands feet or genitals 0.5 cm or less
CPT,11621,Skin cancer removal scalp neck hands feet or genitals 0.6 to 1.0 cm
CPT,11622,Skin cancer removal scalp neck hands feet or genitals 1.1 to 2.0 cm
